Cities,Latitude,Longitude
Alexandria,31.2,29.9167
Ajdābiyā,30.77,20.22
Benghazi,32.1167,20.0667
Marsá Maţrūḩ,31.3333,27.2333
Tobruk,32.0833,23.95
Al Marj,32.5005,20.83
Al Bayḑā’,32.7628,21.755
Darnah,32.7648,22.6391
Irákleio,35.3333,25.1333
Chaniá,35.5167,24.0167
Fethiye,36.6206,29.1142
Kaş,36.2018,29.6377
Ródos,36.4412,28.2225
Denizli,37.7731,29.0878
Marmaris,36.8564,28.2711
Kalamáta,37.0389,22.1142
Muğla,37.2167,28.3667
Söke,37.7512,27.4103
Aydın,37.8481,27.8453
Kuşadası,37.8586,27.2594
İzmir,38.4127,27.1384
Glyfáda,37.88,23.7533
Athens,37.9794,23.7161
Piraeus,37.95,23.7
Nazilli,37.9125,28.3206
Níkaia,37.9667,23.6333
Chalándri,38.0167,23.8
Peristéri,38.0167,23.6833
Néa Ionía,38.0333,23.75
Tire,38.0833,27.7333
Torbalı,38.1619,27.3583
Pátra,38.25,21.7333
Ödemiş,38.2311,27.9719
Menderes,38.254,27.134
Urla,38.3222,26.7647
Manisa,38.6131,27.4258
Kemalpaşa,38.4261,27.4172
Menemen,38.6,27.0667
Chalkída,38.4625,23.595
Turgutlu,38.5,27.7
Salihli,38.4811,28.1392
Uşak,38.6833,29.4
Bergama,39.1228,27.1783
Aliağa,38.7998,26.972
Lamía,38.8972,22.4311
Kütahya,39.4242,29.9833
Soma,39.1833,27.6056
Vólos,39.3611,22.9425
Balıkesir,39.6511,27.8842
Lárisa,39.6385,22.4131
Tríkala,39.55,21.7667
Ioánnina,39.6647,20.8519
